"","PVal","AvgMeth","PValClone"
"AMPL376597",2.09547492406727e-85,0.770327691753691,1.3228728838483e-07
"AMPL365812",0.0515424273521478,0.41850918257112,9.73122882260826e-304
"AMPL390097",0.0016890657581757,0.885271876125315,6.52639295548144e-120
"AMPL355829",0.0322826205777422,0.832553114872164,7.07106706407548e-133
"AMPL355873",0.0106544463594192,0.792221822110191,1.61369218154228e-73
"AMPL355742",2.28650275514439e-06,0.043284119553475,1
"AMPL355889",8.69347719738548e-10,0.19661505221462,2.80834488411413e-11
"AMPL365997",3.01636492305885e-07,0.58826071299964,0.000150098161183472
"AMPL376733",8.86421740993915e-12,0.469283399351819,0
"AMPL390626",0.000149777033004493,0.290025207057976,0
"AMPL365730",0.000244251837644012,0.608786460208859,2.43234085567739e-211
"AMPL390006",1.42257147394277e-08,0.989629096146921,1
"AMPL371756",7.23374579806701e-22,0.797047173208498,2.70480866357296e-135
"AMPL355580",0.00603104217983477,0.850270075621174,0
"AMPL365940",5.42707019470852e-08,0.877709758732445,2.80900333736797e-220
"AMPL366193",2.1737746538087e-23,0.485992077781779,0.000916558348748754
"AMPL377424",0.00791317959435813,0.906157724162766,1.85480223660073e-66
"AMPL377537",8.87253275317821e-05,0.0610731004681311,1
"AMPL378928",0.000282169396322091,0.822542311847317,9.43340905181806e-72
"AMPL378501",0.0309729803041509,0.607922218221102,0
"AMPL388692",6.76355139986745e-08,0.844148361541232,7.97871228535031e-112
"AMPL355676",0.00200177124087656,0.739719121353979,7.82676082458032e-135
"AMPL355831",0.00184051169309776,0.49413035649982,0
"AMPL376547",0.00343770251932005,0.976449405833633,0.00499575876607603
"AMPL371772",0.000125617615990316,0.746921137918617,0
"AMPL371261",0.115038995829949,0.998703637018365,1
"AMPL371729",2.96856939679033e-23,0.529276197335254,2.36949247600306e-07
"AMPL371483",0.0133959932390234,0.862153402952827,6.9556970397415e-199
"AMPL371172",0.00216353758103612,0.901260352898812,8.65362711911561e-151
"AMPL371792",5.9190036783831e-14,0.483831472812387,1.5138205237633e-26
"AMPL371355",7.72979573106272e-05,0.707886208138279,0
"AMPL355534",4.26746501643579e-08,0.805113431760893,6.46461388917693e-48
"AMPL377174",4.17199833675195e-52,0.863017644940583,2.38341023989764e-15
"AMPL366007",1.1302549779585e-07,0.878285920057616,1.16195738134841e-09
"AMPL366182",0.0108691384980217,0.860785019805546,0
"AMPL371512",0.0528183051971593,0.424342815988477,0
"AMPL390462",0.0582951232919203,0.985956067698956,0.000121876199850336
"AMPL378486",4.45600543164163e-06,0.877781778898092,0
"AMPL371404",4.73346143384535e-21,0.30666186532229,2.26109484719869e-10
"AMPL376643",0.0278632160936836,0.969535469931581,1.94747190959793e-127
"AMPL390336",1.17302260720046e-05,0.529276197335254,0
"AMPL390512",0.0416785376257486,0.926539431040691,0
"AMPL371317",9.4730933182298e-06,0.427079582283039,0
"AMPL371811",6.50199948709988e-12,0.800720201656464,0
"AMPL376577",0.0398874922221999,0.846669067338855,1.54788263720037e-14
"AMPL376593",0.00855708070269095,0.437522506301764,0
"AMPL371251",0.00630419050002125,0.749513863881887,0
"AMPL371471",2.01259840560137e-05,0.948505581562838,2.10856903781081e-08
"AMPL371303",0.0266696107662872,0.255167446885128,0
"AMPL377510",0.00611927755535787,0.925891249549874,5.09239555993682e-226
"AMPL365861",1.0272491344686e-26,0.334605689593086,2.51004699011419e-10
"AMPL371644",3.07947278048689e-06,0.589485055815628,2.42262154130285e-276
"AMPL365729",0.00641009515447133,0.923010442924019,8.84653486644857e-31
"AMPL388345",0.00187431116097406,0.351170327691754,0
"AMPL371773",1.16330470786903e-05,0.641699675909255,0
"AMPL371292",0.00570490862383412,0.526179330212459,0
"AMPL371810",0.0101249929364609,0.543896290961469,0
"AMPL376843",4.00766465762374e-08,0.900396110911055,3.45407947527625e-83
"AMPL390223",0.0244207090523253,0.34785740007202,0
"AMPL371812",0.00185080036972035,0.797551314368023,0
"AMPL390215",1,0.999711919337414,1
"AMPL371589",9.7344446830603e-52,0.616420597767375,6.22056924549825e-18
"AMPL371389",3.63827786804696e-27,0.859848757652143,1
"AMPL371271",1.14093788592225e-17,0.887144400432121,1.44807133573051e-06
"AMPL371265",1.02143205578579e-21,0.677781778898091,1.96159201731529e-17
"AMPL366159",1.82031412273998e-43,0.731076701476413,8.8170418174979e-10
"AMPL371654",9.5959605066964e-10,0.767014764133958,3.76438811780664e-212
