"","PVal","AvgMeth","PValClone"
"AMPL371654",9.59596050670397e-10,0.767014764133956,3.76438811780746e-212
"AMPL371420",4.07275362856117e-43,0.527979834353613,1.34552615897501e-19
"AMPL355947",2.09253652960125e-17,0.677781778898101,9.20048917461441e-244
"AMPL390594",0.159069314911215,0.996975153042852,0.985710229949574
"AMPL355546",2.1345406807434e-57,0.668347137198415,7.36978861238338e-14
"AMPL355932",5.6625833929926e-05,0.837882607129996,0
"AMPL365895",1.12978604107625e-22,0.692401872524307,3.24656593040357e-06
"AMPL365894",4.27547886578139e-38,0.66380986676269,9.43905662173967e-14
"AMPL371600",9.6378037920313e-24,0.669931580842642,4.57039956480131e-20
"AMPL355545",0.150699669954693,0.974432841195534,1
"AMPL365945",1.91505689861366e-05,0.570615772416278,6.34771006191138e-14
"AMPL365823",5.7643090836124e-09,0.489305005401508,2.87387601517128e-24
"AMPL365750",6.15879424550836e-38,0.749729924378833,9.36814713394187e-23
"AMPL371732",0.000593364380878562,0.519697515304286,5.00713368427269e-286
"AMPL371479",2.65355368362302e-13,0.741951746489021,2.00290904667124e-68
"AMPL371488",7.0345609947597e-15,0.471876125315086,5.52288606909853e-191
"AMPL365844",0.106935073145066,0.373856679870365,1.2009696444977e-116
"AMPL365790",0.0501952341036097,0.965214259992798,8.72219839726801e-05
"AMPL371358",2.40777398759826e-18,0.397695354699312,0.00247145198153565
"AMPL371262",8.43725862412744e-16,0.724882967230823,8.08271879319963e-25
"AMPL366082",1.9214274436276e-44,0.692545912855604,3.14654053294181e-18
"AMPL365923",2.89068037624383e-08,0.417428880086427,6.64408450761335e-248
"AMPL390593",6.30872992606824e-09,0.772848397551315,2.89474673939868e-46
"AMPL366042",1.817803683577e-12,0.552250630176452,6.74740978056424e-20
"AMPL371491",9.46072262801944e-05,0.778682030968673,2.63067479632399e-113
"AMPL371429",4.7674253665811e-07,0.834137558516391,9.25797894405793e-229
"AMPL376551",1.74104089878442e-54,0.776665466330574,1.64903408620069e-07
"AMPL376320",0.19968028581065,0.724162765574359,2.31456406550354e-59
"AMPL389990",7.58145053210731e-09,0.624126755491534,1.53699675610816e-07
"AMPL366090",9.73898237804989e-37,0.352466690673385,9.36681424092709e-40
"AMPL376917",4.28825228140553e-55,0.449693914296,1.29578271422728e-25
"AMPL376929",0.000146498926796815,0.683975513143687,6.10740838284796e-99
"AMPL388261",4.41632801558875e-05,0.799063737846597,9.65307280953151e-116
"AMPL366052",1.81653981152781e-40,0.714368023046456,1.09021934533113e-45
"AMPL366022",7.4464958083098e-46,0.762549513863878,4.36585784452805e-18
"AMPL388732",1.21178050496472e-19,0.630104429240188,7.89143840400612e-17
"AMPL390447",0.00538010721796986,0.72193014043932,2.36482300421729e-259
"AMPL390601",0.00133742206351825,0.805689593086059,0
"AMPL366088",5.7985593921141e-21,0.474684911775296,2.30960983869279e-24
"AMPL365853",7.99503039749622e-12,0.437018365142233,3.86424534472007e-05
"AMPL390570",0.00197135766541035,0.664314007922224,0
"AMPL366029",0.00155686941197748,0.261937342455882,0
"AMPL388788",6.38612771213961e-31,0.527691753691031,4.77860319668423e-33
"AMPL365896",5.23887199825972e-21,0.882247029168166,0.000782087749723683
"AMPL388408",0.00011961655289784,0.617788980914649,0
"AMPL388483",4.56735717515601e-17,0.603312927619734,3.21330719459475e-11
"AMPL389956",0.00993902221856566,0.318905293482165,0
"AMPL389970",7.32139146926049e-16,0.757580122434261,0
"AMPL388223",0.0555296507154429,0.967662945624775,1
"AMPL365981",1.08387579196246e-09,0.25603168887288,1.55550043149688e-60
"AMPL390597",2.96590106686103e-16,0.489016924738922,3.31160246804355e-22
"AMPL366053",9.40955161594834e-30,0.264314007922219,6.6591293068317e-19
"AMPL390487",4.76029141095511e-16,0.667770975873244,3.66211273141273e-12
"AMPL376483",1.09622097978214e-06,0.74677709758733,1
"AMPL388272",0.000322766178956526,0.867482895210661,8.33769445759442e-282
"AMPL388372",0.000989044633478952,0.807634137558511,0
"AMPL388655",3.25288608890276e-15,0.420453727043574,1.03931096017698e-06
"AMPL390581",0.00689262913155738,0.947641339575079,5.23275305929443e-06
"AMPL388628",0.00131184595993534,0.831760893050058,6.2817254931074e-70
"AMPL388687",4.25692835215047e-09,0.238170687792582,1.92026168612343e-133
"AMPL376587",4.36516451592473e-21,0.602160604969397,7.59782251454588e-167
"AMPL388762",5.16522102210041e-09,0.626863521786099,6.3956907640296e-302
"AMPL388291",8.30252709699088e-24,0.553186892329855,1.57259877683443e-12
"AMPL376465",0.000450937906937612,0.806193734245589,0
"AMPL388609",0.0415782251266913,0.986676269355419,1
"AMPL389976",0.0690705987524321,0.998343536190133,1
"AMPL388660",4.10752294476113e-07,0.86489016924739,3.44460153035293e-91
"AMPL388494",0.000236984651578355,0.847749369823555,3.21488662592293e-72
"AMPL388807",1.95234396301226e-07,0.0977313647821427,1.28532828098095e-114
"AMPL388710",1.8653142658875e-10,0.388980914656107,5.39629160308142e-16
"AMPL388618",1.58900259443332e-05,0.9731364782139,0.232296756544317
"AMPL365753",2.08296920494341e-06,0.662009362621531,7.36395775823772e-123
"AMPL376897",0.00181492322937176,0.891321570039613,0
"AMPL388620",0.00346050664926266,0.656679870363701,0
"AMPL376501",0.000598171839174255,0.990133237306447,1
"AMPL390524",0.11572931595304,0.825423118473176,3.94333640721245e-58
"AMPL376938",1.41735415863501e-10,0.88001440403313,3.59324772616839e-65
"AMPL376318",2.72030458181535e-10,0.391573640619367,2.06644225578804e-63
"AMPL376298",0.00152692936986023,0.801008282319049,6.19214708573668e-278
